co2_room,coir50_vwc,gas_room,offset_from_utc,pressure_room,rh_room,rockwool_vwc,temp_c_room,temp_f_room,time,total_voc_room
748.0,2.9,3084469,-8.0,1026.7,48.5,9.8,21.7,71.1,2020-11-30 19:45:57,53.0
623.0,2.9,3041376,-8.0,1026.8,48.2,9.8,21.7,71.1,2020-11-30 19:56:07,33.0
737.0,2.9,3039742,-8.0,1027.1,48.2,9.9,21.7,71.1,2020-11-30 20:06:07,51.0
692.0,2.9,3039742,-8.0,1027.2,48.3,9.9,21.7,71.1,2020-11-30 20:16:08,44.0
668.0,2.9,3039742,-8.0,1027.4,48.3,9.9,21.7,71.1,2020-11-30 20:26:08,40.0
746.0,2.9,3039742,-8.0,1027.6,48.1,9.9,21.7,71.1,2020-11-30 20:36:09,52.0
840.0,2.9,3039742,-8.0,1027.8,48.0,9.9,21.7,71.1,2020-11-30 20:46:09,67.0
874.0,2.8,3039742,-8.0,1028.0,48.1,9.9,21.6,70.9,2020-11-30 20:56:09,72.0
596.0,2.8,3039742,-8.0,1028.2,48.2,9.9,21.6,70.9,2020-11-30 21:06:10,29.0
853.0,2.8,3039742,-8.0,1028.5,48.0,9.9,21.7,71.1,2020-11-30 21:16:10,69.0
865.0,2.8,734683,-8.0,1028.7,48.0,9.9,21.7,71.1,2020-11-30 21:26:11,70.0
730.0,2.8,3039742,-8.0,1028.8,47.9,9.9,21.6,70.9,2020-11-30 21:36:11,50.0
717.0,2.8,3039742,-8.0,1029.0,48.0,9.9,21.5,70.7,2020-11-30 21:46:11,48.0
631.0,2.7,3039742,-8.0,1029.1,47.7,9.9,21.5,70.7,2020-11-30 21:56:12,35.0
445.0,2.7,3039742,-8.0,1029.1,47.8,9.9,21.3,70.3,2020-11-30 22:06:12,6.0
543.0,2.7,3041376,-8.0,1029.3,47.7,9.8,21.2,70.2,2020-11-30 22:16:12,21.0
575.0,2.7,3039742,-8.0,1029.4,47.7,9.8,21.1,70.0,2020-11-30 22:26:13,26.0
526.0,2.7,3043011,-8.0,1029.3,47.8,9.8,21.0,69.8,2020-11-30 22:36:13,19.0
668.0,2.7,3041376,-8.0,1029.4,47.9,9.8,20.9,69.6,2020-11-30 22:46:13,40.0
652.0,2.7,3039742,-8.0,1029.6,47.8,9.8,20.9,69.6,2020-11-30 22:56:14,38.0
631.0,2.7,3049569,-8.0,1029.6,47.9,9.8,20.8,69.4,2020-11-30 23:06:14,35.0
620.0,2.6,3044648,-8.0,1029.8,47.9,9.8,20.8,69.4,2020-11-30 23:16:14,33.0
502.0,2.6,3039742,-8.0,1029.8,47.8,9.8,20.8,69.4,2020-11-30 23:26:15,15.0
631.0,2.6,3039742,-8.0,1030.0,47.8,9.8,20.8,69.4,2020-11-30 23:36:15,35.0
649.0,2.6,3039742,-8.0,1030.2,47.8,9.8,20.7,69.3,2020-11-30 23:46:15,37.0
659.0,2.6,3039742,-8.0,1030.5,47.7,9.8,20.6,69.1,2020-11-30 23:56:16,39.0
683.0,2.6,3039742,-8.0,1030.5,47.6,9.8,20.6,69.1,2020-12-01 00:06:16,43.0
692.0,2.6,3039742,-8.0,1030.6,47.5,9.8,20.6,69.1,2020-12-01 00:16:16,44.0
692.0,2.6,3039742,-8.0,1030.6,47.6,9.8,20.6,69.1,2020-12-01 00:26:17,44.0
543.0,2.6,3039742,-8.0,1030.7,47.6,9.8,20.6,69.1,2020-12-01 00:36:17,21.0
712.0,2.6,3039742,-8.0,1030.9,47.5,9.8,20.5,68.9,2020-12-01 00:46:18,47.0
690.0,2.5,3039742,-8.0,1031.0,47.5,9.8,20.5,68.9,2020-12-01 00:56:18,44.0
666.0,2.5,734683,-8.0,1031.1,47.4,9.8,20.5,68.9,2020-12-01 01:06:18,40.0
650.0,2.4,734683,-8.0,1031.2,47.5,9.8,20.5,68.9,2020-12-01 01:16:19,38.0
650.0,2.4,3039742,-8.0,1031.5,47.5,9.8,20.5,68.9,2020-12-01 01:26:19,38.0
706.0,2.4,734683,-8.0,1031.8,47.6,9.8,20.5,68.9,2020-12-01 01:36:19,46.0
714.0,2.4,734683,-8.0,1031.9,47.6,9.8,20.4,68.7,2020-12-01 01:46:20,47.0
748.0,2.4,734683,-8.0,1031.9,47.6,9.8,20.4,68.7,2020-12-01 01:56:20,53.0
614.0,2.4,734683,-8.0,1032.0,47.7,9.8,20.4,68.7,2020-12-01 02:06:20,32.0
742.0,2.4,734683,-8.0,1032.1,47.7,9.8,20.4,68.7,2020-12-01 02:16:21,52.0
748.0,2.4,734683,-8.0,1032.1,47.8,9.8,20.4,68.7,2020-12-01 02:26:21,53.0
748.0,2.4,734683,-8.0,1032.0,47.8,9.8,20.3,68.5,2020-12-01 02:36:22,53.0
742.0,2.4,734683,-8.0,1032.1,47.7,9.8,20.3,68.5,2020-12-01 02:46:22,52.0
518.0,2.4,734683,-8.0,1032.2,47.7,9.8,20.3,68.5,2020-12-01 02:56:22,17.0
742.0,2.4,734683,-8.0,1032.2,47.5,9.8,20.3,68.5,2020-12-01 03:06:23,52.0
759.0,2.3,734683,-8.0,1032.5,47.3,9.7,20.3,68.5,2020-12-01 03:16:23,54.0
759.0,2.3,734683,-8.0,1032.5,47.2,9.7,20.3,68.5,2020-12-01 03:26:24,54.0
748.0,2.3,734683,-8.0,1032.5,47.5,9.7,20.2,68.4,2020-12-01 03:36:24,53.0
742.0,2.3,734683,-8.0,1032.7,47.4,9.7,20.3,68.5,2020-12-01 03:46:24,52.0
742.0,2.3,734683,-8.0,1032.7,47.4,9.7,20.3,68.5,2020-12-01 03:56:25,52.0
748.0,2.3,734683,-8.0,1032.7,47.3,9.7,20.2,68.4,2020-12-01 04:06:25,53.0
748.0,2.3,734683,-8.0,1032.8,47.4,9.7,20.2,68.4,2020-12-01 04:16:25,53.0
540.0,2.3,734683,-8.0,1032.7,47.4,9.7,20.2,68.4,2020-12-01 04:26:26,21.0
706.0,2.3,734683,-8.0,1032.8,47.5,9.7,20.2,68.4,2020-12-01 04:36:26,46.0
624.0,2.2,734683,-8.0,1033.1,47.5,9.7,20.2,68.4,2020-12-01 04:46:27,34.0
660.0,2.2,734683,-8.0,1033.0,47.7,9.6,20.1,68.2,2020-12-01 04:56:27,39.0
646.0,2.2,734683,-8.0,1032.9,47.7,9.7,20.1,68.2,2020-12-01 05:06:27,37.0
627.0,2.2,734683,-8.0,1033.3,47.8,9.6,20.1,68.2,2020-12-01 05:16:28,13.0
679.0,2.1,734683,-8.0,1033.4,47.6,9.6,20.1,68.2,2020-12-01 05:26:28,42.0
694.0,2.1,734683,-8.0,1033.4,47.6,9.6,20.1,68.2,2020-12-01 05:36:29,20.0
699.0,2.1,734683,-8.0,1033.3,47.5,9.6,20.1,68.2,2020-12-01 05:46:29,45.0
712.0,2.1,734683,-8.0,1033.3,47.6,9.6,20.1,68.2,2020-12-01 05:56:29,21.0
543.0,2.1,734683,-8.0,1033.2,47.6,9.6,20.0,68.0,2020-12-01 06:06:30,21.0
825.0,2.1,734683,-8.0,1033.1,47.6,9.6,20.1,68.2,2020-12-01 06:16:30,64.0
872.0,2.1,734683,-8.0,1033.1,47.8,9.6,20.1,68.2,2020-12-01 06:26:31,71.0
1041.0,2.1,734683,-8.0,1033.0,47.9,9.6,20.1,68.2,2020-12-01 06:36:31,97.0
1012.0,2.1,734683,-8.0,1033.0,47.7,9.6,20.1,68.2,2020-12-01 06:46:32,93.0
1001.0,2.1,734683,-8.0,1033.0,47.6,9.6,20.1,68.2,2020-12-01 06:56:32,91.0
1102.0,2.1,734683,-8.0,1032.9,47.5,9.6,20.1,68.2,2020-12-01 07:06:32,106.0
1102.0,2.0,734683,-8.0,1032.9,47.7,9.6,20.1,68.2,2020-12-01 07:16:33,106.0
1156.0,2.0,734683,-8.0,1033.0,47.4,9.6,20.2,68.4,2020-12-01 07:26:33,115.0
1425.0,2.0,734683,-8.0,1033.0,47.3,9.6,20.2,68.4,2020-12-01 07:36:33,156.0
1425.0,2.0,734683,-8.0,1032.9,47.3,9.6,20.2,68.4,2020-12-01 07:46:34,156.0
1503.0,1.9,734683,-8.0,1032.9,47.1,9.6,20.2,68.4,2020-12-01 07:56:34,168.0
1597.0,2.0,734683,-8.0,1032.9,47.7,9.7,20.0,68.0,2020-12-01 08:06:34,182.0
1776.0,2.0,3039742,-8.0,1033.1,48.5,9.7,19.6,67.3,2020-12-01 08:16:35,209.0
2970.0,2.0,3039742,-8.0,1033.3,49.1,9.6,19.6,67.3,2020-12-01 08:26:35,391.0
3176.0,2.0,3039742,-8.0,1033.3,49.4,9.6,19.5,67.1,2020-12-01 08:36:35,422.0
3023.0,2.0,3041376,-8.0,1033.5,49.8,9.6,19.5,67.1,2020-12-01 08:46:36,399.0
2970.0,2.0,3092896,-8.0,1033.6,50.0,9.6,19.5,67.1,2020-12-01 08:54:19,391.0
548.0,2.0,3049569,-8.0,1033.6,50.1,9.6,19.5,67.1,2020-12-01 09:04:29,22.0
780.0,2.0,3039742,-8.0,1033.7,50.5,9.6,19.7,67.5,2020-12-01 09:14:30,57.0
715.0,2.0,3039742,-8.0,1033.8,50.7,9.6,20.0,68.0,2020-12-01 09:24:30,47.0
851.0,2.0,3039742,-8.0,1033.9,50.5,9.6,20.1,68.2,2020-12-01 09:34:31,68.0
715.0,1.9,3039742,-8.0,1033.9,50.5,9.6,20.1,68.2,2020-12-01 09:44:31,47.0
637.0,2.0,3039742,-8.0,1034.0,50.4,9.6,20.2,68.4,2020-12-01 09:54:31,36.0
565.0,1.9,3039742,-8.0,1034.0,50.6,9.5,20.1,68.2,2020-12-01 10:04:32,25.0
599.0,1.9,3039742,-8.0,1034.1,50.7,9.5,20.2,68.4,2020-12-01 10:14:32,11.0
476.0,1.9,3039742,-8.0,1034.0,50.4,9.5,20.1,68.2,2020-12-01 10:24:32,11.0
457.0,1.9,3039742,-8.0,1034.0,50.8,9.5,20.1,68.2,2020-12-01 10:34:33,8.0
699.0,1.9,3039742,-8.0,1033.8,50.8,9.4,20.0,68.0,2020-12-01 10:44:33,45.0
536.0,1.9,3039742,-8.0,1033.7,51.0,9.4,20.0,68.0,2020-12-01 10:54:33,20.0
697.0,1.9,3041376,-8.0,1033.6,50.8,9.4,20.0,68.0,2020-12-01 11:04:34,45.0
865.0,1.9,3039742,-8.0,1033.4,51.0,9.4,20.0,68.0,2020-12-01 11:14:34,70.0
956.0,1.9,3046286,-8.0,1033.4,51.0,9.4,19.9,67.8,2020-12-01 11:24:34,84.0
895.0,1.8,3043011,-8.0,1033.3,51.2,9.4,19.9,67.8,2020-12-01 11:34:35,75.0
778.0,1.8,3064429,-8.0,1033.2,51.3,9.4,19.8,67.6,2020-12-01 11:44:35,57.0
735.0,1.8,3064429,-8.0,1033.1,51.6,9.4,19.8,67.6,2020-12-01 11:54:35,51.0
659.0,1.8,3079434,-8.0,1033.0,51.6,9.4,19.8,67.6,2020-12-01 12:04:35,39.0
633.0,1.8,3081111,-8.0,1032.7,51.5,9.4,19.9,67.8,2020-12-01 12:14:36,35.0
666.0,1.8,3099671,-8.0,1032.5,51.7,9.3,19.9,67.8,2020-12-01 12:24:36,40.0
612.0,1.8,3120176,-8.0,1032.4,51.4,9.4,19.8,67.6,2020-12-01 12:34:36,32.0
581.0,1.8,3137472,-8.0,1032.3,51.6,9.3,19.7,67.5,2020-12-01 12:44:37,27.0
564.0,1.8,3140954,-8.0,1032.1,51.5,9.3,19.8,67.6,2020-12-01 12:54:37,24.0
564.0,1.8,3127072,-8.0,1032.0,51.6,9.3,19.8,67.6,2020-12-01 13:04:37,24.0
602.0,1.8,3144444,-8.0,1031.9,51.7,9.3,19.8,67.6,2020-12-01 13:14:38,8.0
564.0,1.8,3149694,-8.0,1031.8,51.4,9.3,19.7,67.5,2020-12-01 13:24:38,24.0
455.0,1.8,3147942,-8.0,1031.7,51.7,9.3,19.7,67.5,2020-12-01 13:34:38,8.0
549.0,1.8,3142699,-8.0,1031.5,51.6,9.3,19.7,67.5,2020-12-01 13:44:39,22.0
477.0,1.8,3147942,-8.0,1031.3,51.6,9.3,19.7,67.5,2020-12-01 13:54:39,11.0
679.0,1.8,3153203,-8.0,1031.2,51.6,9.3,19.7,67.5,2020-12-01 14:04:39,42.0
560.0,1.8,3151448,-8.0,1031.1,51.6,9.3,19.7,67.5,2020-12-01 14:14:40,24.0
668.0,1.8,3154961,-8.0,1031.0,51.4,9.3,19.7,67.5,2020-12-01 14:24:40,40.0
715.0,1.8,3176207,-8.0,1031.0,51.5,9.2,19.7,67.5,2020-12-01 14:34:40,47.0
744.0,1.8,3176207,-8.0,1030.9,51.6,9.2,19.9,67.8,2020-12-01 14:44:41,52.0
798.0,1.8,3142699,-8.0,1030.8,51.4,9.3,20.1,68.2,2020-12-01 14:54:41,60.0
761.0,1.8,3162011,-8.0,1030.6,50.9,9.2,20.1,68.2,2020-12-01 15:04:42,54.0
798.0,1.8,3163779,-8.0,1030.6,51.3,9.3,20.1,68.2,2020-12-01 15:14:42,60.0
584.0,1.8,16389,-8.0,1257.7,100.0,1.8,-125.1,-193.2,2020-12-01 15:24:42,28.0
659.0,1.8,3174425,-8.0,1030.6,51.1,9.2,20.0,68.0,2020-12-01 15:34:43,39.0
645.0,1.8,3194131,-8.0,1030.4,51.0,9.2,19.9,67.8,2020-12-01 15:44:43,37.0
666.0,1.8,3199548,-8.0,1030.3,51.1,9.2,19.9,67.8,2020-12-01 15:54:43,40.0
400.0,1.7,3179775,-8.0,1030.4,51.2,9.2,19.9,67.8,2020-12-01 16:04:43,0.0
683.0,1.7,3130531,-8.0,1030.4,49.6,9.1,20.6,69.1,2020-12-01 16:14:44,43.0
520.0,1.7,3092896,-8.0,1030.1,48.8,9.2,20.9,69.6,2020-12-01 16:24:44,18.0
694.0,1.7,3069414,-8.0,1030.0,48.3,9.2,21.1,70.0,2020-12-01 16:34:44,44.0
671.0,1.7,3047927,-8.0,1030.0,47.7,9.2,21.2,70.2,2020-12-01 16:44:44,41.0
653.0,1.7,3039742,-8.0,1029.9,47.7,9.2,21.3,70.3,2020-12-01 16:54:45,38.0
683.0,1.7,3039742,-8.0,1029.8,47.6,9.3,21.4,70.5,2020-12-01 17:04:45,43.0
564.0,1.7,3039742,-8.0,1029.9,47.4,9.3,21.5,70.7,2020-12-01 17:14:45,24.0
